,planet,inst,calltype,obstype,Rp,Tp,Mp,Teff,Kmag,orbital_period,Rs,a/Rs,catalog_name,planet_name
0,WASP-43 b,MIRI,GO,transit,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
2,WASP-39 b,NIRCam,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
6,WASP-18 b,NIRISS,GO,transit,1.24,2504.73,10.2,6432.0,8.131,0.94145223,1.32,3.297159720281731,nexsci,WASP-18 b
7,WASP-39 b,NIRISS,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
11,WASP-39 b,NIRSpec,GO,transit,1.27,1120.55,0.28,5400.0,10.202,4.055259,0.9,11.611736406209571,nexsci,WASP-39 b
19,GJ 357 b,NIRSpec,GO,transit,0.109,526.78,0.00579,3505.0,6.475,3.93072,0.34,22.135663083732844,nexsci,GJ 357 b
22,HD 15337 b,NIRSpec,GO,transit,0.146,1003.09,0.02363,5125.0,7.044,4.75615,0.86,13.051951774421614,nexsci,HD 15337 b
23,HD 15337 c,NIRSpec,GO,transit,0.213,643.6,0.02552,5125.0,7.044,17.1784,0.86,31.704741091890046,nexsci,HD 15337 c
24,L 168-9 b,NIRSpec,GO,transit,0.124,981.56,0.01447,3800.0,7.082,1.4015,0.6,7.493870625118586,nexsci,L 168-9 b
25,L 98-59 c,NIRSpec,GO,transit,0.124,517.31,0.00698,3415.0,7.101,3.6906777,0.3,21.78992510794883,nexsci,L 98-59 c
28,LTT 1445 A b,NIRSpec,GO,transit,0.116,428.58,0.00903,3340.0,6.496,5.3587657,0.27,30.367318873029557,nexsci,LTT 1445 A b
31,TOI 260.01,NIRSpec,GO,transit,0.146239375,498.1,,4049.0,6.548999786376953,13.470018,0.6181730031967163,33.03915003119856,toi,TOI 260.01
32,TOI 776 b,NIRSpec,GO,transit,,,,,,,,,,
33,TOI 776 c,NIRSpec,GO,transit,,,,,,,,,,
34,TOI 836.01,NIRSpec,GO,transit,0.23574285714285717,637.11,,4250.0,6.803999900817871,8.5954792,0.6910279989242554,22.249094314338034,toi,TOI 836.01
35,TOI 836.02,NIRSpec,GO,transit,0.15112232142857143,835.11,,4250.0,6.803999900817871,3.8167262,0.6910279989242554,12.949697153417869,toi,TOI 836.02
36,GJ 1214 b,MIRI,GO,transit,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
39,LTT 1445 A b,MIRI,GO,transit,0.116,428.58,0.00903,3340.0,6.496,5.3587657,0.27,30.367318873029557,nexsci,LTT 1445 A b
42,55 Cnc e,NIRCam,GO,transit,0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
45,LHS 1140 b,NIRSpec,GO,transit,0.131011,219.88,0.0212289,3131.0,8.821,24.73712,0.186,101.379,exoplanets.org,LHS 1140 b
49,K2-141 b,MIRI,GO,transit,0.140049,2023.11,0.0164862,4373.0,8.401,0.2803226,0.674,2.33609,exoplanets.org,K2-141 b
51,HD 189733 b,MIRI,GO,transit,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
58,HD 189733 b,NIRCam,GO,transit,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
72,V1298 Tau b,NIRSpec,GO,transit,0.916,675.24,0.236,4970.0,8.094,24.1396,1.34,27.087632744170477,nexsci,V1298 Tau b
73,V1298 Tau c,NIRSpec,GO,transit,0.499,964.36,0.0839,4962.28,8.094,8.24958,1.34,13.238920031955358,nexsci,V1298 Tau c
74,WASP-63 b,NIRISS,GO,transit,1.41,1523.45,0.37,5550.0,9.393,4.37808,1.86,6.635938567467438,nexsci,WASP-63 b
75,K2-141 b,NIRSpec,GO,transit,0.140049,2023.11,0.0164862,4373.0,8.401,0.2803226,0.674,2.33609,exoplanets.org,K2-141 b
77,Kepler-51 b,NIRSpec,GO,transit,0.633,561.13,0.007,6018.0,13.197,45.154,0.94,57.50966376125073,nexsci,Kepler-51 b
78,TOI 178 b,NIRSpec,GO,transit,,,,,,,,,,
79,TOI 178 d,NIRSpec,GO,transit,,,,,,,,,,
80,TOI 178 g,NIRSpec,GO,transit,,,,,,,,,,
81,55 Cnc e,MIRI,GO,transit,0.167,1945.95,0.02514,5172.0,4.015,0.7365474,0.94,3.532017535694953,nexsci,55 Cnc e
87,K2-18 b,NIRSpec,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
97,HD 80606 b,MIRI,GO,transit,1.07,404.75,4.38,5561.0,7.316,111.4367,1.04,94.38671063808172,nexsci,HD 80606 b
99,TOI 421 b,NIRISS,GO,transit,,,,,,,,,,
100,TOI 421 b,NIRSpec,GO,transit,,,,,,,,,,
108,LHS 3844 b,MIRI,GO,transit,0.116,809.13,0.00708,3036.0,9.145001,0.46292913,0.19,7.039473727741085,nexsci,LHS 3844 b
109,TRAPPIST-1 c,MIRI,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
112,Kepler-51 d,NIRSpec,GO,transit,0.865,394.36,0.024,6018.0,13.197,130.194,0.94,116.43762471947741,nexsci,Kepler-51 d
113,TRAPPIST-1 b,NIRISS,GO,transit,0.1,399.0,0.00432,2566.0,10.296,1.510826,0.12,20.67892563698433,nexsci,TRAPPIST-1 b
116,TRAPPIST-1 c,NIRISS,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
119,TRAPPIST-1 g,NIRSpec,GO,transit,0.105246,195.08,0.003612,2516.0,10.29,12.354473,0.121,83.1731,exoplanets.org,TRAPPIST-1 g
120,TRAPPIST-1 h,NIRSpec,GO,transit,0.070827,169.7,0.00104144,2516.0,10.29,18.767953,0.121,109.912,exoplanets.org,TRAPPIST-1 h
122,WASP-178 b,NIRSpec,GO,transit,1.81,2469.17,1.66,9360.0,9.703,3.3448285,1.67,7.184906758333269,nexsci,WASP-178 b
123,WD 1856+534 b,NIRSpec,GO,transit,0.928,159.02,13.8,4710.0,15.548,1.4079405,0.01,438.66559756791725,nexsci,WD 1856+534 b
125,K2-18 b,MIRI,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
130,K2-18 b,NIRISS,GO,transit,0.216574,282.36,0.025337,3457.0,8.899,32.939614,0.411,74.9492,exoplanets.org,K2-18 b
140,HIP 67522 b,NIRSpec,GO,transit,0.898,1174.0,0.228,5675.0,8.164,6.959503,1.38,,nexsci,HIP 67522 b
141,GJ 486 b,MIRI,GO,transit,0.116,702.61,0.00887,3340.0,6.362,1.467119,0.33,11.298962361597868,nexsci,GJ 486 b
143,WASP-166 b,NIRISS,GO,transit,0.63,1272.74,0.101,6050.0,8.032,5.44354,1.22,11.298000965968939,nexsci,WASP-166 b
145,WASP-166 b,NIRSpec,GO,transit,0.63,1272.74,0.101,6050.0,8.032,5.44354,1.22,11.298000965968939,nexsci,WASP-166 b
147,WASP-121 b,NIRSpec,GO,transit,1.80692,2354.76,1.18367,6460.0,9.374,1.2749255,1.458,3.76306,exoplanets.org,WASP-121 b
156,NGTS-10 b,NIRSpec,GO,transit,1.205,1551.93,2.162,4600.0,11.728,0.7668944,0.7,4.392799751555474,nexsci,NGTS-10 b
157,WASP-127 b,NIRSpec,GO,transit,1.34777,1355.15,0.204061,5750.0,8.641,4.178062,1.33,9.00186,exoplanets.org,WASP-127 b
159,TRAPPIST-1 c,NIRSpec,GO,transit,0.098,341.0,0.00412,2566.0,10.296,2.421937,0.12,28.312567163288776,nexsci,TRAPPIST-1 c
162,HD 80606 b,NIRSpec,GO,transit,1.07,404.75,4.38,5561.0,7.316,111.4367,1.04,94.38671063808172,nexsci,HD 80606 b
164,HATS-72 b,NIRISS,GO,transit,0.722,738.68,0.1254,4656.1,9.764,7.3279474,0.72,19.865685970469194,nexsci,HATS-72 b
166,HATS-72 b,NIRSpec,GO,transit,0.722,738.68,0.1254,4656.1,9.764,7.3279474,0.72,19.865685970469194,nexsci,HATS-72 b
168,TOI 741.01,NIRCam,GO,transit,0.08674664471161322,530.76,,3745.0,5.586999893188477,7.57687074985214,0.5252760052680969,24.892789647738038,toi,TOI 741.01
169,GJ 1132 b,NIRSpec,GO,transit,0.107221,583.71,0.0052796,3270.0,8.322,1.628931,0.2105,15.6916,exoplanets.org,GJ 1132 b
174,TOI 910.01,NIRSpec,GO,transit,0.08295956965540321,604.28,,3312.0,7.685999870300293,2.0290881904027,0.28749701380729675,15.020274208285317,toi,TOI 910.01
175,GJ 486 b,NIRSpec,GO,transit,0.116,702.61,0.00887,3340.0,6.362,1.467119,0.33,11.298962361597868,nexsci,GJ 486 b
180,LHS 1140 c,NIRSpec,GO,transit,0.104,399.32,0.00554,2988.0,8.821,3.77792,0.21,27.995138743013204,nexsci,LHS 1140 c
188,HD 209458 b,MIRI,GO,transit,1.39,1476.81,0.73,6091.0,6.308,3.52474859,1.19,8.505515602867796,nexsci,HD 209458 b
191,GJ 367 b,MIRI,GO,transit,0.064,1367.01,0.00172,3522.0,5.78,0.321962,0.46,3.3189745766541052,nexsci,GJ 367 b
192,HIP 65426 b,NIRISS,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
195,HIP 65426 b,MIRI,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
198,HIP 65426 b,NIRCam,GO,direct,1.5,,,8840.0,6.771,,1.77,,exoplanets.org,HIP 65426 b
201,VHS J1256-1257 b,MIRI,GO,direct,,,,,,,,,not found,VHS J1256-1257 b
203,VHS J1256-1257 b,NIRSpec,GO,direct,,,,,,,,,not found,VHS J1256-1257 b
205,alpha Cen A,MIRI,GO,direct,,,,,,,,,not found,alpha Cen A
206,GJ 14,MIRI,GO,direct,,,,,,,,,not found,GJ 14
207,HD 202628,MIRI,GO,direct,,,,,,,,,not found,HD 202628
208,HD 207129,MIRI,GO,direct,,,,,,,,,not found,HD 207129
209,Eps Indi A b,MIRI,GO,direct,,,,,,,,,not found,Eps Indi A b
210,WD1620-391,MIRI,GO,direct,,,,,,,,,not found,WD1620-391
211,WD1202-232,MIRI,GO,direct,,,,,,,,,not found,WD1202-232
212,WD2105-82,MIRI,GO,direct,,,,,,,,,not found,WD2105-82
213,WD2149+02,MIRI,GO,direct,,,,,,,,,not found,WD2149+02
214,HD 163296,NIRCam,GO,direct,,,,,,,,,not found,HD 163296
215,bet Pic c,NIRISS,GO,direct,1.12,328.27,9.0,7890.0,3.526,1200.0,2.01,288.8491643335715,nexsci,bet Pic c
216,TYC 8988-760-1 b,MIRI,GO,direct,,,,,,,,,not found,TYC 8988-760-1 b
217,TYC 8988-760-1 b/c,NIRSpec,GO,direct,,,,,,,,,error,TYC 8988-760-1 b/c
218,TYC 8988-760-1 c,MIRI,GO,direct,,,,,,,,,not found,TYC 8988-760-1 c
219,L 98-59 d,NIRSpec,GTO,transit,0.136,409.13,0.0061,3415.0,7.101,7.4507245,0.3,34.83520921862872,nexsci,L 98-59 d
221,WASP-107 b,NIRSpec,GTO,transit,0.967496,736.99,0.116833,4430.0,8.637,5.72149,0.66,18.0658,exoplanets.org,WASP-107 b
227,WASP-43 b,NIRSpec,GTO,transit,0.93,1379.17,1.78,4400.0,9.267,0.813475,0.6,5.089094350869629,nexsci,WASP-43 b
229,WASP-52 b,NIRSpec,GTO,transit,1.27,1299.37,0.46,5000.0,10.086,1.7497798,0.79,7.403638777517589,nexsci,WASP-52 b
231,GJ 436 b,MIRI,GTO,transit,0.372,687.53,0.07,3586.11,6.073,2.64388312,0.46,13.603121152202036,nexsci,GJ 436 b
234,HAT-P-26 b,MIRI,GTO,transit,0.63,1043.77,0.07,5079.0,9.581,4.23452,0.87,11.839126731746244,nexsci,HAT-P-26 b
239,TRAPPIST-1 b,MIRI,GTO,transit,0.1,399.0,0.00432,2566.0,10.296,1.510826,0.12,20.67892563698433,nexsci,TRAPPIST-1 b
242,WASP-69 b,MIRI,GTO,transit,1.11,988.03,0.29,4700.0,7.459,3.86814,0.86,11.31419191173521,nexsci,WASP-69 b
245,WASP-80 b,MIRI,GTO,transit,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
259,GJ 1214 b,NIRCam,GTO,transit,0.245,588.35,0.02571,3250.0,8.782,1.58040433,0.21,15.257043426148382,nexsci,GJ 1214 b
265,GJ 3470 b,NIRCam,GTO,transit,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
271,GJ 436 b,NIRCam,GTO,transit,0.372,687.53,0.07,3586.11,6.073,2.64388312,0.46,13.603121152202036,nexsci,GJ 436 b
277,HD 189733 b,NIRCam,GTO,transit,1.13,1193.25,1.13,5052.0,5.541,2.21857567,0.75,8.962540248348427,nexsci,HD 189733 b
284,WASP-107 b,NIRCam,GTO,transit,0.967496,736.99,0.116833,4430.0,8.637,5.72149,0.66,18.0658,exoplanets.org,WASP-107 b
296,WASP-69 b,NIRCam,GTO,transit,1.11,988.03,0.29,4700.0,7.459,3.86814,0.86,11.31419191173521,nexsci,WASP-69 b
302,WASP-80 b,NIRCam,GTO,transit,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
330,GJ 357 b,NIRISS,GTO,transit,0.109,526.78,0.00579,3505.0,6.475,3.93072,0.34,22.135663083732844,nexsci,GJ 357 b
333,HAT-P-1 b,NIRISS,GTO,transit,1.319,1322.67,0.525,5980.0,8.858,4.46529976,1.17,10.220459980204405,nexsci,HAT-P-1 b
337,L 98-59 c,NIRISS,GTO,transit,0.124,517.31,0.00698,3415.0,7.101,3.6906777,0.3,21.78992510794883,nexsci,L 98-59 c
340,L 98-59 d,NIRISS,GTO,transit,0.136,409.13,0.0061,3415.0,7.101,7.4507245,0.3,34.83520921862872,nexsci,L 98-59 d
342,LTT 9779 b,NIRISS,GTO,transit,0.421,1974.28,0.09225,5443.0,8.016,0.792052,0.95,3.8004104144299946,nexsci,LTT 9779 b
343,TRAPPIST-1 f,NIRISS,GTO,transit,0.095875,215.18,0.002938,2516.0,10.29,9.205585,0.121,68.3598,exoplanets.org,TRAPPIST-1 f
344,WASP-107 b,NIRISS,GTO,transit,0.967496,736.99,0.116833,4430.0,8.637,5.72149,0.66,18.0658,exoplanets.org,WASP-107 b
350,WASP-121 b,NIRISS,GTO,transit,1.80692,2354.76,1.18367,6460.0,9.374,1.2749255,1.458,3.76306,exoplanets.org,WASP-121 b
352,WASP-127 b,NIRISS,GTO,transit,1.34777,1355.15,0.204061,5750.0,8.641,4.178062,1.33,9.00186,exoplanets.org,WASP-127 b
354,WASP-52 b,NIRISS,GTO,transit,1.27,1299.37,0.46,5000.0,10.086,1.7497798,0.79,7.403638777517589,nexsci,WASP-52 b
356,WASP-80 b,NIRISS,GTO,transit,0.999,827.36,0.538,4143.0,8.351,3.06785234,0.59,12.53746805943532,nexsci,WASP-80 b
363,GJ 3470 b,NIRSpec,GTO,transit,0.408,683.29,0.04373,3600.0,7.989,3.3366496,0.55,13.879348229644437,nexsci,GJ 3470 b
366,LP 791-18 c,NIRSpec,GTO,transit,0.206,343.27,0.0187,2960.0,10.644,4.989963,0.17,37.17779482040433,nexsci,LP 791-18 c
367,TRAPPIST-1 d,NIRSpec,GTO,transit,0.07,287.22,0.00122,2566.0,10.296,4.049219,0.12,39.90638422319247,nexsci,TRAPPIST-1 d
374,HAT-P-12 b,MIRI,GTO,transit,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
380,WASP-107 b,MIRI,GTO,transit,0.967496,736.99,0.116833,4430.0,8.637,5.72149,0.66,18.0658,exoplanets.org,WASP-107 b
386,HAT-P-12 b,NIRISS,GTO,transit,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
389,HAT-P-12 b,NIRSpec,GTO,transit,0.959,957.35,0.211,4650.0,10.108,3.2130598,0.7,11.796049682498612,nexsci,HAT-P-12 b
397,WASP-17 b,MIRI,GTO,transit,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
409,HAT-P-26 b,NIRISS,GTO,transit,0.63,1043.77,0.07,5079.0,9.581,4.23452,0.87,11.839126731746244,nexsci,HAT-P-26 b
414,WASP-17 b,NIRISS,GTO,transit,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
426,HAT-P-26 b,NIRSpec,GTO,transit,0.63,1043.77,0.07,5079.0,9.581,4.23452,0.87,11.839126731746244,nexsci,HAT-P-26 b
436,TRAPPIST-1 e,NIRSpec,GTO,transit,0.0834395,246.83,0.002429,2516.0,10.29,6.099043,0.121,51.9526,exoplanets.org,TRAPPIST-1 e
437,WASP-17 b,NIRSpec,GTO,transit,1.87,1698.89,0.78,6550.0,10.224,3.73543,1.49,7.432319474518929,nexsci,WASP-17 b
449,GJ 1132 b,MIRI,GTO,transit,0.107221,583.71,0.0052796,3270.0,8.322,1.628931,0.2105,15.6916,exoplanets.org,GJ 1132 b
451,HD 149026 b,NIRCam,GTO,transit,0.74,1693.63,0.38,6179.0,6.819,2.87589,1.41,6.655321470540921,nexsci,HD 149026 b
462,HD 209458 b,NIRCam,GTO,transit,1.39,1476.81,0.73,6091.0,6.308,3.52474859,1.19,8.505515602867796,nexsci,HD 209458 b
468,WASP-77 A b,NIRCam,GTO,transit,1.23,1690.89,1.667,5617.0,8.405,1.36002854,0.91,5.517583335062953,nexsci,WASP-77 A b
472,WISE0855-0714,MIRI,GTO,direct,,,,,,,,,not found,WISE0855-0714
476,WISE0855-0714,NIRCam,GTO,direct,,,,,,,,,not found,WISE0855-0714
480,WISE0855-0714,NIRISS,GTO,direct,,,,,,,,,not found,WISE0855-0714
484,WISE0855-0714,NIRSpec,GTO,direct,,,,,,,,,not found,WISE0855-0714
488,SIMP-J013656.5+093347.3,NIRISS,GTO,direct,,,,,,,,,not found,SIMP-J013656.5+093347.3
489,Eps Eri b,MIRI,GTO,direct,,,,,,,,,,
491,Eps Eri b,NIRCam,GTO,direct,,,,,,,,,,
492,Fomalhaut b,MIRI,GTO,direct,1.2,44.37,2.6,8399.0,0.945,555530.0,1.92,17919.34630587897,nexsci,Fomalhaut b
498,Fomalhaut b,NIRCam,GTO,direct,1.2,44.37,2.6,8399.0,0.945,555530.0,1.92,17919.34630587897,nexsci,Fomalhaut b
501,Vega,MIRI,GTO,direct,,,,,,,,,not found,Vega
507,Vega,NIRCam,GTO,direct,,,,,,,,,not found,Vega
510,HR 8799 b,MIRI,GTO,direct,1.2,51.43,7.0,7204.58,5.24,170000.0,1.49,9813.548044024992,nexsci,HR 8799 b
513,HR 8799 b,NIRCam ,GTO,direct,1.2,51.43,7.0,7204.58,5.24,170000.0,1.49,9813.548044024992,nexsci,HR 8799 b
516,HD 95086 b,NIRCam,GTO,direct,1.15,59.9,5.0,7595.0,6.789,,1.49,8038.450383120472,nexsci,HD 95086 b
518,2M1207 b,MIRI,GTO,direct,,,,,,,,,not found,2M1207 b
524,2M1207 b,NIRSpec,GTO,direct,,,,,,,,,not found,2M1207 b
527,2M2236 b,NIRSpec ,GTO,direct,,,,,,,,,not found,2M2236 b
528,GU Psc b,NIRSpec ,GTO,direct,1.265,2.92,11.3,4031.81,9.345,,0.45,955698.4696468783,nexsci,GU Psc b
529,HR 8799 b,NIRSpec,GTO,direct,1.2,51.43,7.0,7204.58,5.24,170000.0,1.49,9813.548044024992,nexsci,HR 8799 b
532,HR 8799 c,NIRSpec ,GTO,direct,1.2,68.79,10.0,7204.58,5.24,69000.0,1.49,5484.041554013967,nexsci,HR 8799 c
533,PSO 318,MIRI,GTO,direct,,,,,,,,,not found,PSO 318
539,PSO 318,NIRSpec,GTO,direct,,,,,,,,,not found,PSO 318
542,GJ 504,MIRI,GTO,direct,,,,,,,,,not found,GJ 504
543,HD 106906 b,MIRI,GTO,direct,1.11,17.94,11.0,6516.0,6.683,,2.12,65929.67037068677,nexsci,HD 106906 b
549,HD 106906 b,NIRSpec,GTO,direct,1.11,17.94,11.0,6516.0,6.683,,2.12,65929.67037068677,nexsci,HD 106906 b
552,HD 95086 b,MIRI,GTO,direct,1.15,59.9,5.0,7595.0,6.789,,1.49,8038.450383120472,nexsci,HD 95086 b
554,Ross 458 AB c,MIRI,GTO,direct,,,,,,,,,not found,Ross 458 AB c
557,Ross 458 AB c,NIRSpec ,GTO,direct,,,,,,,,,not found,Ross 458 AB c
560,Eps Indi B,MIRI,GTO,direct,,,,,,,,,not found,Eps Indi B
561,WISEPAJ173835,MIRI,GTO,direct,,,,,,,,,not found,WISEPAJ173835
562,WISEPCJ121756,MIRI,GTO,direct,,,,,,,,,not found,WISEPCJ121756
563,51 Eri,NIRCam,GTO,direct,,,,,,,,,not found,51 Eri
564,Ross 458 AB c,NIRSpec,GTO,direct,,,,,,,,,not found,Ross 458 AB c
567,HD 19467,NIRSpec ,GTO,direct,,,,,,,,,not found,HD 19467
569,GJ 758,MIRI,GTO,direct,,,,,,,,,not found,GJ 758
570,HD 115600,NIRISS,GTO,direct,,,,,,,,,not found,HD 115600
571,HD 218396,NIRISS,GTO,direct,,,,,,,,,not found,HD 218396
572,HD 95086,NIRISS,GTO,direct,,,,,,,,,not found,HD 95086
573,51 Eri b,MIRI,GTO,direct,1.19,118.19,2.0,7295.0,4.537,11688.0,1.49,1904.9828556048515,nexsci,51 Eri b
574,Beta Pic b,MIRI,GTO,direct,,,,,,,,,,
575,HR 2562 b,MIRI,GTO,direct,1.11,88.04,30.0,6785.0,5.02,,1.47,2969.4916735456577,nexsci,HR 2562 b
576,Kappa And,MIRI,GTO,direct,,,,,,,,,not found,Kappa And
577,HD 19467,NIRCam,GTO,direct,,,,,,,,,not found,HD 19467
579,J03480772-6022270,MIRI,GTO,direct,,,,,,,,,not found,J03480772-6022270
582,J03480772-6022270,NIRSpec ,GTO,direct,,,,,,,,,not found,J03480772-6022270
588,J045853.89+643452.9,MIRI,GTO,direct,,,,,,,,,not found,J045853.89+643452.9
594,J045853.89+643452.9,NIRSpec,GTO,direct,,,,,,,,,not found,J045853.89+643452.9
597,J11193254-1137466,MIRI,GTO,direct,,,,,,,,,not found,J11193254-1137466
599,J11193254-1137466,NIRSpec,GTO,direct,,,,,,,,,not found,J11193254-1137466
601,J114724.10-204021.3,MIRI,GTO,direct,,,,,,,,,not found,J114724.10-204021.3
603,J114724.10-204021.3,NIRSpec,GTO,direct,,,,,,,,,not found,J114724.10-204021.3
605,J182831.08+265037.7,MIRI,GTO,direct,,,,,,,,,not found,J182831.08+265037.7
609,J182831.08+265037.7,NIRCam,GTO,direct,,,,,,,,,not found,J182831.08+265037.7
613,J182831.08+265037.7,NIRISS,GTO,direct,,,,,,,,,not found,J182831.08+265037.7
617,J182831.08+265037.7,NIRSpec,GTO,direct,,,,,,,,,not found,J182831.08+265037.7
621,UGPS0722-05,MIRI,GTO,direct,,,,,,,,,not found,UGPS0722-05
623,UGPS0722-05,NIRSpec,GTO,direct,,,,,,,,,not found,UGPS0722-05
625,2MJ0433,NIRCam,GTO,direct,,,,,,,,,not found,2MJ0433
626,2MJ0944,NIRCam,GTO,direct,,,,,,,,,not found,2MJ0944
627,AP Col,NIRCam,GTO,direct,,,,,,,,,not found,AP Col
628,AU Mic,NIRCam,GTO,direct,,,,,,,,,not found,AU Mic
629,Fomalhaut C,NIRCam,GTO,direct,,,,,,,,,not found,Fomalhaut C
630,G 7-34,NIRCam,GTO,direct,,,,,,,,,not found,G 7-34
631,HIP 17695,NIRCam,GTO,direct,,,,,,,,,not found,HIP 17695
632,LP 944-20,NIRCam,GTO,direct,,,,,,,,,not found,LP 944-20
633,TYC 5899,NIRCam,GTO,direct,,,,,,,,,not found,TYC 5899
